"","time","BTC","ETH","EOS","LTC","ETC","XRP","QTUM","NEO","DASH","TRX","ZEC","HT","XLM","ADA","PAX","BCH","ONT","USDT"
"232",2018-04-15 01:00:00,43,9,1,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0
"233",2018-04-14 01:00:00,76,9,1,3,0,5,0,2,1,0,2,0,0,2,0,0,0,2
"234",2018-04-13 01:00:00,83,7,6,3,0,8,0,3,0,0,1,0,1,1,0,0,0,0
"235",2018-04-12 01:00:00,74,15,3,2,0,6,0,2,0,0,1,0,1,2,0,0,2,1
"236",2018-04-11 01:00:00,70,15,3,3,0,1,0,2,0,0,1,0,2,1,0,0,1,1
"237",2018-04-10 01:00:00,72,8,2,2,0,2,0,4,0,0,3,0,1,2,0,0,0,3
"238",2018-04-09 01:00:00,41,7,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"239",2018-04-08 01:00:00,40,7,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0
"240",2018-04-07 01:00:00,80,15,3,4,0,2,0,3,0,0,0,0,1,2,0,0,0,1
"241",2018-04-06 01:00:00,65,11,2,5,0,7,0,2,0,0,1,0,1,1,0,0,1,0
"242",2018-04-05 01:00:00,90,18,1,4,0,3,0,2,1,0,0,0,1,2,0,0,0,2
"243",2018-04-04 01:00:00,74,23,1,3,0,1,0,3,3,0,1,0,1,1,0,0,1,0
"244",2018-04-03 01:00:00,71,19,2,3,0,2,0,2,2,0,1,0,1,1,0,0,0,1
"245",2018-04-02 01:00:00,45,7,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"246",2018-04-01 01:00:00,45,6,2,2,0,2,1,2,1,0,0,0,1,1,0,0,0,0
"247",2018-03-31 01:00:00,34,8,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,1
"248",2018-03-30 01:00:00,44,12,0,3,0,5,0,2,0,0,3,0,1,0,0,1,0,1
"249",2018-03-29 01:00:00,70,15,3,6,0,6,0,2,4,0,1,0,0,1,0,0,0,2
"250",2018-03-28 01:00:00,71,16,1,10,0,1,1,2,2,0,2,0,2,0,0,0,0,0
"251",2018-03-27 01:00:00,69,13,1,4,0,1,0,2,1,0,1,0,1,2,0,0,2,1
"252",2018-03-26 01:00:00,44,6,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0
"253",2018-03-25 00:00:00,44,5,2,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0
"254",2018-03-24 00:00:00,69,16,1,1,0,1,0,2,0,0,1,0,2,1,0,0,0,3
"255",2018-03-23 00:00:00,64,15,4,1,0,1,0,1,1,0,2,0,2,0,0,0,0,0
"256",2018-03-22 00:00:00,75,10,1,4,0,2,0,2,1,0,1,0,1,3,0,0,0,5
"257",2018-03-21 00:00:00,58,13,2,2,0,3,1,2,2,0,2,0,3,0,0,0,0,0
"258",2018-03-20 00:00:00,83,8,2,2,0,1,0,3,2,0,1,0,4,2,0,0,0,4
"259",2018-03-19 00:00:00,39,9,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"260",2018-03-18 00:00:00,54,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"261",2018-03-17 00:00:00,75,8,1,3,0,1,0,2,1,0,1,0,0,1,0,0,0,1
