"","Date","high","low","open","close"
"296",2018-10-10 07:00:00,6536.8,6523.06,6536.63,6534.3
"297",2018-10-10 08:00:00,6547.02,6528.13,6534.3,6547
"298",2018-10-10 09:00:00,6557,6543.46,6547.1,6545.94
"299",2018-10-10 10:00:00,6548.2,6533.28,6545.94,6539.31
"300",2018-10-10 11:00:00,6554.6,6537.57,6539.31,6553.42
"301",2018-10-10 12:00:00,6561.07,6551.33,6554.21,6557.21
"302",2018-10-10 13:00:00,6567.92,6555.03,6557.21,6562.8
"303",2018-10-10 14:00:00,6563.52,6550.06,6562.54,6560.38
"304",2018-10-10 15:00:00,6560.41,6544.58,6560.38,6544.68
"305",2018-10-10 16:00:00,6559.77,6542.54,6544.68,6557.51
"306",2018-10-10 17:00:00,6574.44,6551.23,6557.51,6570.43
"307",2018-10-10 18:00:00,6598.86,6566.94,6570.43,6598.86
"308",2018-10-10 19:00:00,6600.07,6587.95,6598.84,6592.54
"309",2018-10-10 20:00:00,6595.31,6588.09,6592.54,6588.09
"310",2018-10-10 21:00:00,6588.77,6566.43,6588.43,6566.91
"311",2018-10-10 22:00:00,6574.51,6565.55,6567.23,6572.41
"312",2018-10-10 23:00:00,6585.7,6571.26,6572.41,6581.07
"313",2018-10-11 00:00:00,6581.59,6514.35,6581.07,6518.69
"314",2018-10-11 01:00:00,6520.02,6171.95,6519.29,6292.71
"315",2018-10-11 02:00:00,6292,6206.14,6291.7,6255.76
"316",2018-10-11 03:00:00,6302.7,6254.72,6255.77,6285.35
"317",2018-10-11 04:00:00,6315.49,6276.76,6285.27,6288
"318",2018-10-11 05:00:00,6294.2,6254.27,6288.54,6269.6
"319",2018-10-11 06:00:00,6269.66,6216.74,6269.6,6248.09
"320",2018-10-11 07:00:00,6267.77,6215.78,6248.09,6258.94
"321",2018-10-11 08:00:00,6274.38,6258.46,6258.94,6259.63
"322",2018-10-11 09:00:00,6266.12,6245.14,6259.71,6266.12
"323",2018-10-11 10:00:00,6266.87,6252.33,6266.12,6263.19
"324",2018-10-11 11:00:00,6263.19,6234.21,6263.19,6234.71
"325",2018-10-11 12:00:00,6259.86,6234.66,6234.71,6248.66
"326",2018-10-11 13:00:00,6282.93,6177.89,6248.62,6262.11
"327",2018-10-11 14:00:00,6291.59,6262.1,6262.22,6267.05
"328",2018-10-11 15:00:00,6274.79,6244.47,6267.27,6249.36
"329",2018-10-11 16:00:00,6265.79,6245.59,6249.36,6264.35
"330",2018-10-11 17:00:00,6282.73,6264.11,6264.29,6267.91
"331",2018-10-11 18:00:00,6270.88,6250.86,6267.4,6250.9
"332",2018-10-11 19:00:00,6257.89,6249.5,6251.05,6252.93
"333",2018-10-11 20:00:00,6267.29,6195.11,6252.81,6258.6
"334",2018-10-11 21:00:00,6261.07,6243.36,6258.6,6255.19
"335",2018-10-11 22:00:00,6256.11,6229.36,6255.19,6246.39
"336",2018-10-11 23:00:00,6252.05,6175,6246.07,6209.47
"337",2018-10-12 00:00:00,6227.21,6173.86,6209.47,6209.53
"338",2018-10-12 01:00:00,6242.67,6207.2,6211.12,6232.68
"339",2018-10-12 02:00:00,6249.33,6230.22,6232.83,6244.51
"340",2018-10-12 03:00:00,6258.5,6234.04,6244.51,6257.53
"341",2018-10-12 04:00:00,6269.97,6251.84,6257.53,6262.37
"342",2018-10-12 05:00:00,6271.06,6248.9,6262.37,6264.84
"343",2018-10-12 06:00:00,6284.04,6262.5,6264.84,6279.81
"344",2018-10-12 07:00:00,6296.56,6270.13,6279.81,6283.66
"345",2018-10-12 08:00:00,6287.22,6273.14,6283.66,6277.98
"346",2018-10-12 09:00:00,6280,6256.74,6278.23,6260.48
"347",2018-10-12 10:00:00,6270.66,6258.33,6260.48,6266.33
"348",2018-10-12 11:00:00,6268.95,6251.51,6266.33,6265.22
"349",2018-10-12 12:00:00,6280.84,6263.53,6264.86,6280.49
"350",2018-10-12 13:00:00,6283.85,6259.49,6281.88,6259.52
"351",2018-10-12 14:00:00,6268.39,6255.99,6259.58,6266.79
"352",2018-10-12 15:00:00,6293.89,6266.33,6266.79,6284.33
"353",2018-10-12 16:00:00,6287.65,6271.98,6285.04,6273.72
"354",2018-10-12 17:00:00,6278.48,6254.14,6273.72,6260.29
"355",2018-10-12 18:00:00,6265.56,6254.7,6260.76,6262.44
"356",2018-10-12 19:00:00,6270.99,6262.17,6262.94,6269.83
"357",2018-10-12 20:00:00,6276.49,6265.82,6270.85,6272.25
"358",2018-10-12 21:00:00,6277.41,6262.23,6272.25,6265.47
"359",2018-10-12 22:00:00,6265.57,6234.21,6265.47,6252.34
"360",2018-10-12 23:00:00,6266.54,6250.74,6253.62,6250.85
"361",2018-10-13 00:00:00,6280.73,6243.76,6252.1,6260.06
"362",2018-10-13 01:00:00,6272.83,6253.72,6260.06,6265.77
"363",2018-10-13 02:00:00,6266.18,6255.68,6265.77,6259.07
"364",2018-10-13 03:00:00,6262.3,6238.92,6259.66,6245.63
"365",2018-10-13 04:00:00,6260.54,6241.78,6245.03,6256.83
"366",2018-10-13 05:00:00,6268.06,6256.38,6257.09,6260.12
"367",2018-10-13 06:00:00,6264.79,6256.91,6260.77,6260.59
"368",2018-10-13 07:00:00,6262.52,6250.88,6261.22,6257.85
"369",2018-10-13 08:00:00,6258.71,6253.41,6258.7,6257.8
"370",2018-10-13 09:00:00,6270.71,6254.98,6257.8,6266.39
"371",2018-10-13 10:00:00,6278.54,6263.77,6266.39,6268.17
"372",2018-10-13 11:00:00,6274.23,6256.63,6268.27,6256.91
"373",2018-10-13 12:00:00,6261,6241.7,6256.91,6260.84
"374",2018-10-13 13:00:00,6264.17,6251.09,6260.84,6252.38
"375",2018-10-13 14:00:00,6265.18,6250.87,6252.38,6263.96
"376",2018-10-13 15:00:00,6265.3,6257.78,6263.96,6262.4
"377",2018-10-13 16:00:00,6268.48,6260.04,6262.4,6264.46
"378",2018-10-13 17:00:00,6266.28,6260.77,6264.46,6261.16
"379",2018-10-13 18:00:00,6266.61,6244.66,6261.16,6244.66
"380",2018-10-13 19:00:00,6262.38,6244.83,6245.18,6259.94
"381",2018-10-13 20:00:00,6264.45,6251.37,6259.94,6256.71
"382",2018-10-13 21:00:00,6264.47,6254.84,6256.83,6259.12
"383",2018-10-13 22:00:00,6270.77,6257.23,6261.05,6264.76
"384",2018-10-13 23:00:00,6269.35,6260.5,6265.13,6267.27
"385",2018-10-14 00:00:00,6272.39,6261.14,6267.27,6271.21
"386",2018-10-14 01:00:00,6271.97,6262.87,6271.97,6263.47
"387",2018-10-14 02:00:00,6271.12,6262.5,6263.87,6267.89
"388",2018-10-14 03:00:00,6296.7,6265.78,6267.89,6292.43
"389",2018-10-14 04:00:00,6346.56,6291.99,6292.43,6322.56
"390",2018-10-14 05:00:00,6334.22,6315.28,6323.18,6315.71
"391",2018-10-14 06:00:00,6324.92,6312.22,6316.03,6312.86
"392",2018-10-14 07:00:00,6321.47,6311.84,6313.36,6313.06
"393",2018-10-14 08:00:00,6315.85,6310.89,6313.06,6315.36
"394",2018-10-14 09:00:00,6317.92,6294.64,6315.49,6301.81
"395",2018-10-14 10:00:00,6302.31,6288.84,6301.77,6292.46
"396",2018-10-14 11:00:00,6298.68,6285.58,6293.6,6294.3
"397",2018-10-14 12:00:00,6310.05,6291.5,6294.56,6308.28
"398",2018-10-14 13:00:00,6309.55,6300.18,6308.28,6301.48
"399",2018-10-14 14:00:00,6304.78,6299.54,6301.48,6304.73
"400",2018-10-14 15:00:00,6317.47,6301.41,6304.73,6315.58
"401",2018-10-14 16:00:00,6325.83,6314.82,6315.58,6325.17
"402",2018-10-14 17:00:00,6327.14,6315.72,6325.17,6317.01
"403",2018-10-14 18:00:00,6331.57,6316.12,6317.01,6325.74
"404",2018-10-14 19:00:00,6337.36,6324.3,6326.14,6334.76
"405",2018-10-14 20:00:00,6340.46,6289.55,6335.34,6304.39
"406",2018-10-14 21:00:00,6304.94,6290.91,6304.87,6295.93
"407",2018-10-14 22:00:00,6307.62,6294.15,6295.92,6297.41
"408",2018-10-14 23:00:00,6301.79,6247.17,6297.41,6277.73
"409",2018-10-15 00:00:00,6290.67,6244.77,6277.73,6288.13
